round_end_reason,ct_equip_val,t_equip_val,type_buy_ct,type_buy_t,score_ct,score_t,bomb_plant
BombDefused,27500,7100,Full Buy,Force Buy,12,5,True
CTWin,30400,24700,Full Buy,Full Buy,13,5,False
CTWin,0,0,Eco,Eco,0,0,False
,0,0,,,0,0,False
TWin,3250,3250,Eco,Eco,0,1,True
TargetBombed,4350,4250,Eco,Eco,0,2,True
TWin,10350,19000,Half Buy,Half Buy,0,3,True
BombDefused,4700,22300,Eco,Full Buy,1,3,True
TargetBombed,27650,25150,Full Buy,Full Buy,1,4,True
CTWin,27650,25200,Full Buy,Full Buy,2,4,False
TWin,8800,27250,Force Buy,Full Buy,2,5,True
TWin,29850,20400,Full Buy,Full Buy,2,6,True
TargetBombed,6900,27150,Force Buy,Full Buy,2,7,True
TargetBombed,17600,27650,Half Buy,Full Buy,2,8,True
TargetBombed,9200,26000,Force Buy,Full Buy,2,9,True
TWin,28850,27550,Full Buy,Full Buy,10,2,True
TargetBombed,28750,25750,Full Buy,Full Buy,10,3,True
TWin,4400,4250,Eco,Eco,10,4,True
CTWin,8850,19750,Force Buy,Half Buy,11,4,False
CTWin,2700,23100,Eco,Full Buy,12,4,False
CTWin,29150,14200,Full Buy,Half Buy,13,4,False
TWin,0,0,Eco,Eco,0,0,False
,3250,3250,Eco,Eco,0,0,False
TWin,1000,1000,Eco,Eco,0,1,True
TWin,4400,4250,Eco,Eco,0,2,True
BombDefused,2700,19300,Eco,Half Buy,1,2,True
CTWin,22600,24000,Full Buy,Full Buy,2,2,False
BombDefused,22950,16900,Full Buy,Half Buy,3,2,True
TWin,25300,2000,Full Buy,Eco,3,3,True
CTWin,29900,24400,Full Buy,Full Buy,4,3,False
CTWin,25200,25750,Full Buy,Full Buy,5,3,False
BombDefused,29650,7800,Full Buy,Force Buy,6,3,True
TWin,29850,22400,Full Buy,Full Buy,6,4,True
TWin,30050,9550,Full Buy,Force Buy,6,5,True
TWin,28300,27150,Full Buy,Full Buy,6,6,True
CTWin,27850,11450,Full Buy,Half Buy,7,6,False
BombDefused,4100,2950,Eco,Eco,8,6,True
TargetBombed,19100,3150,Half Buy,Eco,8,7,True
TWin,25050,25100,Full Buy,Full Buy,8,8,True
TargetBombed,25100,25100,Full Buy,Full Buy,8,9,True
BombDefused,2900,25100,Eco,Full Buy,9,9,True
CTWin,25700,27050,Full Buy,Full Buy,10,9,False
